date,number_days,region,number_blackout_consumers,number_blackout_settlements,number_restored_consumers,number_restored_settlements,notes,link
2022-03-07,1,Луганська,68345,22,,,,https://www.facebook.com/tovleo/posts/pfbid0bj5okuGWp1YbgzA95tdwAipJ34AbjgM897FKgMpCQ1DWtRhTsKoRi1YrETpwqfml?__cft__[0]=AZXH6cvBckBHAMB49pvwiEwpEft8HwlLTGfzOW9Rcmee9JUYUaJZU5eWDmhXxGmkqyukX3rSBU3zjMLX_bb5zKm7f7dln0SMZExd-6OgGnHlN8cCBuTELG2SXCtjF8iadyGlsQkoJGvC5_mMWOdB0RxTtpdnJSB1NGndP6gaK68AAhDx8GFCNtICLDHJc85iIzI&__tn__=%2CO%2CP-R
2022-03-08,2,Київська,,,5000,,07.03-08.03,https://www.dtek-krem.com.ua/ua/news/dtek-kievskie-regionalnye-elektroseti-vernuli-svet-eshche-dlya-5-000-semey-kievskoy-oblasti
2022-03-08,1,Київська,,446,8900,,,https://www.dtek-krem.com.ua/ua/news/dtek-kievskie-regionalnye-elektroseti-vernuli-svet-eshche-dlya-8-900-semey-kievskoy-oblasti
2022-03-08,1,Луганська,44814,22,23500,,,https://www.facebook.com/tovleo/posts/pfbid0F8HssivBvHCWLF4JPR5hWzyymsk2GdNYetjRZJWJQymjadrBQtq3KierQF8dMauLl?__cft__[0]=AZVRJxNqP60-6cFFC0xXeFFb-L5WnVIBd3D_xKw6IDizjyxQTmioJsjOopL6CFEWJEsLsfdHVsu5MHjkIvJ7GYCxo-er7aEJI-174X0PujefS9Ejy89osWuhRV1bEn_3NWe66JLQJgCa-Lit-T97uNMoLVn2Bcp-AYsLGPD4KadUM2feGruxljCxqGZ56Gqmkts&__tn__=%2CO%2CP-R
2022-03-09,1,Донецька,,148,4900,,,https://www.dtek-dem.com.ua/ua/news/dtek-doneckie-elektroseti-vernul-svet-dlya-pochti-5-tysyach-semey-doneckoy-oblasti
2022-03-09,1,Київська,,440,3000,,,https://www.dtek-krem.com.ua/ua/news/dtek-kievskie-regionalnye-elektroseti-vernuli-svet-eshche-dlya-3-000-semey-kievskoy-oblasti
2022-03-09,1,Луганська,115461,27,,,,https://www.facebook.com/tovleo/posts/pfbid02omZFGiTrs8vB5Uoveq7fqjMgd76sJgYh4aGkopUhMuVQcKrtJz3s4LZFhH3wSt4Ql?__cft__[0]=AZXqr2ztVpe4ypvsPT6QILitKjefgm_PeBVd5Slu1WeQyAo-q7ZXRgjdUE0HlxhvYVgXdPz7lnacIWnp_oO1Q3OhnOUfUTvat2cbU6uh2rVVhs4bWb3xxW305VsRU28sX2IfcOT7RhslESgyt9AYiTRet9FgsqheulXP43lrmGckvORrHcxzl-x5TS6aigV-8Jo&__tn__=%2CO%2CP-R
2022-03-10,1,Київська,,,5400,,,https://www.dtek-krem.com.ua/ua/news/dtek-kievskie-regionalnye-elektroseti-vernuli-svet-dlya-5-400-semey-kievskoy-oblasti
2022-03-10,1,Луганська,114100,27,,,,https://www.facebook.com/tovleo/posts/pfbid02xZEvFoT9QUGCfT39LWTkKQ5CRbQ1KrNUM9zEyQY6D9xzxDn9fg9GzoqghFPszoZSl?__cft__[0]=AZXe5sxqU9YVOCxioXucU9fnnzSbkNl52_K8AcmEYqj5qbJKnjRcRni-IVNjLUY4HrtsPkCTnbRxyKtCw2wEVao9b_ybbiRkb7cMXSOFRp9k6wusfXVRSnE_0z9TwN6Z7OagVaugQ3chpg9HevjNVjf3tF1t1xsy_LXecPdhB0FqokAWxKXJH4DcRni6liBD7zY&__tn__=%2CO%2CP-R
2022-03-11,1,Київська,,553,7000,,,https://www.dtek-krem.com.ua/ua/news/dtek-kievskie-regionalnye-elektroseti-vernuli-svet-dlya-7-000-semey-kievskoy-oblasti
2022-03-11,1,Луганська,97798,25,2000,,,https://www.facebook.com/tovleo/posts/pfbid0Mm9YsvbyVi1RfnNpVokWSrpdnuYcwn31Y2vBFUXfSV4LN4kbnDEnEohUfhjHqqdWl?__cft__[0]=AZVURf4VmikKGL-uc1PcmPpNHuztYoUm33SmaRVdQcmhSFmtwKI-ldmqtR5-p_5oXYBUc2uXNEzIRoZhX5icB-DITJJTFYBfikzQSajZluvpMuCtdjwFLKDjJJTPNIVayrIfU1n8rCS9W_bzyFGCBDYYpFAp3cOqEKPxBJZ7VWTrbx4TTouUuX5djuS0zOMUBhc&__tn__=%2CO%2CP-R
2022-03-11,1,Херсонська,42090,,,,,https://khoda.gov.ua/operativna-%D1%96nformac%D1%96ja-po-hersonshhin%D1%96-za-danimi-v%D1%96d-rda-ta-tg-stanom-na-12%3A00
2022-03-12,1,Донецька,,156,3800,,,https://www.dtek-dem.com.ua/ua/news/dtek-doneckie-elektroseti-vernul-svet-dlya-pochti-4-tysyach-semey-doneckoy-oblasti-raboty-prodolzhayutsya
2022-03-12,1,Київська,,,4300,,,https://www.dtek-krem.com.ua/ua/news/dtek-kievskie-regionalnye-elektroseti-vernuli-svet-eshche-4-000-semey-kievskoy-oblasti-vozobnovitelnye-raboty-prodolzhayutsya
2022-03-12,1,Луганська,84873,22,,,,https://www.facebook.com/tovleo/posts/pfbid0yWB5GxywohpWAhetzchoGA8qz3uicASDb1oEJBeMq3kZZkwp7fBJwgxEjaHz7yrRl?__cft__[0]=AZXR9Ze3jMDoBVYTTKFer_5as82_AQLoZz0mydxgJY-D3k1FrXQ1FQTXKL6tp7BG0-zPTO2QYnz4eMbRlugOkMMKG5UHECjaVcTu4cz_b298SvBdpe9aSgbiM2BzEBR_uAJUGp4WXpL_X3BFyF5wkRR2aAG5u_zfLGjXUR2H7II4TMu28ubK51etHkb2XATFYJY&__tn__=%2CO%2CP-R
2022-03-12,1,Херсонська,41480,,,,,https://khoda.gov.ua/operativna-%D1%96nformac%D1%96ja-po-hersonshhin%D1%96-stanom-na-12%3A00
2022-03-13,7,Київська,,,27300,,07.03-13.03,https://www.dtek-krem.com.ua/ua/news/za-nedelyu-v-kievskoy-oblasti-svet-vernuli-27-300-semey-kotorye-byli-bez-elektrosnabzheniya-iz-za-boevyh-deystviy
2022-03-13,1,Луганська,96000,22,,,,https://www.facebook.com/tovleo/posts/pfbid0iADmNC1QgeBKyRNDpPMdKvnWnN1hqiDcNCWDejFa4WUuGMdGL6CLhcJAuKE3EBFql?__cft__[0]=AZVu2op5IGX-Emenr53eVJJ5ysvRlumbE1v9S3OnLp7alUzKMszJpNHjOoY1eB7hcJKF280jqFrM7pQ9P9qfEmIrLK6hXHCOFnUPjgPrNFmzubfeZB4X0Pg59NuPDhD0S3CjXkwcT99q8bhLoO301tYqIFaxmwahYbh610oRTe1qWR9Wz0E-QPOKVml38dqdxgw&__tn__=%2CO%2CP-R
2022-03-13,1,Херсонська,37210,,,,,https://khoda.gov.ua/operativna-%D1%96nformac%D1%96ja-po-hersonshhin%D1%96za-danimi-v%D1%96d-rda-ta-tg-stanom-na-12%3A00
2022-03-14,1,Донецька,,194,6200,,,https://www.dtek-dem.com.ua/ua/news/za-sutki-dtek-doneckie-elektroseti-vernuli-svet-dlya-6200-tysyach-semey-doneckoy-oblasti
2022-03-14,1,Київська,,562,10000,,,https://www.dtek-krem.com.ua/ua/news/dtek-kijivski-regionalni-elektromerezhi-povernuv-svitlo-shche-dlya-10-000-simey-kijivskoji-oblasti-vidnovlyuvalni-roboti-prodovzhuyutsya
2022-03-14,1,Луганська,97834,22,,,,https://www.facebook.com/tovleo/posts/pfbid02gHzXY8AbEo8WsE5iWDqDUeWn8ZiFQLcc4hhwYzGf5jfE5YV6qjC3cLQ6d8sn9cQUl?__cft__[0]=AZXNEbe4fXo_kY-rFvqRXWqWk2TNEmLbemqHkkZVmPdmpjq-rQBWC6IvLk5D4mJwqgyiLBZKoyWW1xnn9ADUR1FMn65dH6WYJoxQMdqNwhBgAJBkw5ViZigVd5H2iKGyLocftYaJX0grTeuL8ZpBP-R_Qhcc_2I09kZ3EiOQXN0P3g3hF1VGcsFIFHVmqjvnT_c&__tn__=%2CO%2CP-R
2022-03-14,1,Херсонська,37210,,,,,https://khoda.gov.ua/operativna-%D1%96nformac%D1%96ja-po-hersonshhin%D1%96-za-danimi-v%D1%96d-rda-ta-otg-v-telefonnomu-rezhim%D1%96-14-03-2022r--na-16%3A00
2022-03-15,1,Донецька,,195,4000,,,https://www.dtek-dem.com.ua/ua/news/za-sutki-dtek-doneckie-elektroseti-vernuli-svet-dlya-4000-tysyach-semey-doneckoy-oblasti
2022-03-15,1,Київська,,531,11000,,,https://www.dtek-krem.com.ua/ua/news/dtek-kijivski-regionalni-elektromerezhi-povernuv-svitlo-shche-dlya-11-000-simey-kijivskoji-oblasti-t-vidnoviv-elektropostachannya-vishgorodskoji-hlibopekarni
2022-03-15,1,Луганська,96454,22,,,,https://www.facebook.com/tovleo/posts/pfbid02PcifUL7pWNqXZyoJgxWM49UdLcoYGMZuhpouw25NkCakxfAGMQ3PhbuEwBhMoKkyl?__cft__[0]=AZU03K2G0v0Igfqtv6LZv_zd5bfoyhfJ0fcxtz6dNUymKXU_oTdgpUhg8CkPiP-RAXhpdOHeSJ8CFwBmeyZi4Gy79nIr2F8-7y1Cb5O2qW1C-_VGydvgAQ02YoDk-Xqz3fY218ajT4QWv1vo92RUV40cNFcnqM2uYv1a7Gb9bSDh8GYyzF9uSAPymwQ3XxhRBD8&__tn__=%2CO%2CP-R
2022-03-15,1,Одеська,,,642,2,,https://www.dtek-oem.com.ua/ua/news/dtek-odesskie-elektroseti-vernul-elektrosnabzhenie-v-dva-sela-belgorod-dnestrovskogo-rayona-kotorye-postradali-v-rezultate-boevyh-deystviy
2022-03-16,1,Луганська,102242,25,,,,https://www.facebook.com/tovleo/posts/pfbid0YSUimFhtHAjJzLBnfv6VM6TfMSRmuWS6JtvGcyVEnLCVZkAS8vxWTmxHWMfZf9PYl?__cft__[0]=AZW-Tc4s8ntaMf2K4d0MSIMdD3Z9LmDUZ4C5B4dOvfemjB5a44jZEwf4WvjPHVpwJYMyqNG82w69E6Fco0frIyNQgmpB2ATMGze-LmsQzvrbeGj-xXZsH-grxodHLbGp5lay_1p4_YEq5KMgilYVInHLI6eVNSPSSy_pM4G-QjqqWBg4fE6OPGDdjJXP958UhWY&__tn__=%2CO%2CP-R
2022-03-16,1,Херсонська,44530,,,,,https://khoda.gov.ua/operativna-%D1%96nformac%D1%96ja-po-hersonshhin%D1%96-16-03-2022r-
2022-03-17,1,Донецька,,191,6500,,,https://www.dtek-dem.com.ua/ua/news/za-sutki-dtek-doneckie-elektroseti-vernuli-svet-dlya-6500-tysyach-semey-doneckoy-oblasti
2022-03-17,1,Київська,,511,18000,,,https://www.dtek-krem.com.ua/ua/news/dtek-povernuv-svitlo-shche-dlya-18-000-simey-u-kijivskiy-oblasti-avariyno-vidnovlyuvalni-roboti-trivayut
2022-03-17,1,Луганська,101868,26,,,,https://www.facebook.com/tovleo/posts/pfbid044FCNEqA32aDBP6QktxY4HjetctSYtz9uT1gxEtb2FpyFQCt7ruoFkaTV3EAjR2hl?__cft__[0]=AZWJXEFctJzLbpG6KyT_Cuc36vitz73znZP9toAyKYps60ZWFgoTu4wcgZLKmLgrNg9xR9qMiEbUae2otQdhZmCYWEpMnPw972y9758qRvTQesu9Ygd0Kep7EwgePOCaZ7cvqJ2fdGMUZhAB0UU34Th-P-w9R-IV8-bH1BCOlhNiOxkbQC_8m7amC4BvUlWxCuQ&__tn__=%2CO%2CP-R
2022-03-17,1,Херсонська,45750,,,,,https://khoda.gov.ua/operativna-%D1%96nformac%D1%96ja-po-hersonshhin%D1%96-za-danimi-v%D1%96d-rda-ta-tg-v-telefonomu-rezhim%D1%96-stanom-na-17%3A00
2022-03-18,1,Донецька,,193,11600,,,https://www.dtek-dem.com.ua/ua/news/dtek-donecki-elektromerezhi-vidnoviv-elektropostachannya-shche-dlya-11-600-rodin-doneckoji-oblasti
2022-03-18,1,Київська,,,1843,,,https://www.dtek-krem.com.ua/ua/news/dtek-povernuv-svitlo-shche-dlya-1-800-simey-u-kijivskiy-oblasti-avariyno-vidnovlyuvalni-roboti-trivayut
2022-03-18,1,Луганська,101717,26,,,,https://www.facebook.com/tovleo/posts/pfbid02nueXL6YrbeQ1GLZTktaAW1oZcgZvt79auznKAXNF2QK6yECC6e4FCTETC2cUqCFql?__cft__[0]=AZW_arcy0M_R59HZyJY7p-r7HP5VHhXV5anA0u5h16SnkKbuz3Qdn-0omYYGf081OPqrxzAVsC9UF3WM_r3jFxDMs5CGTy3Qq_JmjvuPCGR2b6etQO8kuLOVUNSJkCI_En82SQwictJVr95V0imM30EV33eWOEw3f3vn6fD39OnyvhW9TWXa02A0LtYpR5-riVY&__tn__=%2CO%2CP-R
2022-03-18,1,Херсонська,48800,,,,,https://khoda.gov.ua/operativna-%D1%96nformac%D1%96ja-po-hersonshhin%D1%96--za-danimi-v%D1%96d-rda-ta-otg-18-03-2022r--na-12-00-
2022-03-19,1,Київ,,,46478,,,https://www.dtek-kem.com.ua/ua/news/dtek-operativno-povernuv-svitlo-dlya-46-478-simey-shcho-meshkayut-na-minskomu-masivi-ta-oboloni-v-kiyevi
2022-03-19,1,Київська,,499,7476,,,https://www.dtek-krem.com.ua/ua/news/dtek-povernuv-svitlo-shche-dlya-mayzhe-7-500-simey-u-kijivskiy-oblasti-avariyno-vidnovlyuvalni-roboti-trivayut
